accuracy,auroc,contract_correct,contract_scenario,contract_secondary_violation,contract_violation_rate,hard_failures,ledger_rows,n_test,n_train,non_tail_mean_probability,non_tail_predicted_positive_rate,rare_positive_recall,scaler,scenario,seed,tail_count,tail_false_positive_rate,tail_label_rate,tail_mean_probability,tail_predicted_positive_rate,tail_probability_gap,x0_policy
0.6392857142857142,0.6648298382570539,False,signal,0.06303111090140828,0.3351701617429461,0.0,1.0,280.0,520.0,0.4842112072790358,0.48484848484848486,0.7777777777777778,ranc_wrong_noise,noise,18,16.0,0.42857142857142855,0.5625,0.5472423181804441,0.625,0.06303111090140828,zscore
0.7535714285714286,0.8165994589352255,,,0.0,0.0,0.0,0.0,280.0,520.0,0.4630235519070093,0.4490566037735849,1.0,none,signal,18,15.0,1.0,0.9333333333333333,0.9999058047339572,1.0,0.5368822528269479,
0.7464285714285714,0.8097595834822112,,,0.0,0.0,0.0,0.0,280.0,520.0,0.46506843646455,0.45660377358490567,1.0,standard,signal,18,15.0,1.0,0.9333333333333333,0.9796746899369616,1.0,0.5146062534724116,
0.7535714285714286,0.8166505027818897,,,0.0,0.0,0.0,0.0,280.0,520.0,0.4630214659477132,0.4490566037735849,1.0,robust,signal,18,15.0,1.0,0.9333333333333333,0.9999031080003923,1.0,0.5368816420526791,
0.7535714285714286,0.8159869327752539,,,0.0,0.0,0.0,0.0,280.0,520.0,0.4631606898579888,0.4490566037735849,1.0,winsor,signal,18,15.0,1.0,0.9333333333333333,0.9998979590744956,1.0,0.5367372692165069,
0.7321428571428571,0.7891889132765044,,,0.0,0.2142857142857143,0.0,0.0,280.0,520.0,0.47491574926864905,0.46037735849056605,0.7857142857142857,quantile,signal,18,15.0,1.0,0.9333333333333333,0.5992910984809303,0.8,0.12437534921228127,
0.7464285714285714,0.8097595834822112,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.4650693574709591,0.45660377358490567,1.0,ranc,signal,18,15.0,1.0,0.9333333333333333,0.9796430011601936,1.0,0.5145736436892345,zscore
0.7464285714285714,0.8097595834822112,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.4650693574709591,0.45660377358490567,1.0,ranc_correct,signal,18,15.0,1.0,0.9333333333333333,0.9796430011601936,1.0,0.5145736436892345,zscore
0.7428571428571429,0.8126180388954112,False,noise,0.0,0.0,0.0,1.0,280.0,520.0,0.47059329386958637,0.4528301886792453,1.0,ranc_wrong_signal,signal,18,15.0,1.0,0.9333333333333333,0.8135266773087627,1.0,0.34293338343917634,log1p
0.6428571428571429,0.7196938775510203,,,0.07357570104639433,0.2803061224489797,0.0,0.0,280.0,520.0,0.510997181692081,0.5,0.5,none,noise,19,16.0,0.75,0.5,0.5845728827384753,0.625,0.07357570104639433,
0.6428571428571429,0.719642857142857,,,0.0734076376407905,0.28035714285714297,0.0,0.0,280.0,520.0,0.5110107917094374,0.5,0.5,standard,noise,19,16.0,0.75,0.5,0.5844184293502279,0.625,0.0734076376407905,
0.6428571428571429,0.7198979591836734,,,0.07307784254007832,0.2801020408163266,0.0,0.0,280.0,520.0,0.5108803687340071,0.5,0.5,robust,noise,19,16.0,0.75,0.5,0.5839582112740854,0.625,0.07307784254007832,
0.6607142857142857,0.7201530612244899,,,0.10771328736348396,0.27984693877551015,0.0,0.0,280.0,520.0,0.5108850970811624,0.5,0.75,winsor,noise,19,16.0,0.875,0.5,0.6185983844446463,0.8125,0.10771328736348396,
0.7535714285714286,0.8226020408163265,,,0.4031939303043539,0.17739795918367351,0.0,0.0,280.0,520.0,0.4637761449295781,0.42424242424242425,0.875,quantile,noise,19,16.0,1.0,0.5,0.866970075233932,0.9375,0.4031939303043539,
0.6714285714285714,0.7301020408163266,True,noise,0.2512947224989451,0.26989795918367343,0.0,1.0,280.0,520.0,0.4975528782821486,0.4734848484848485,0.875,ranc,noise,19,16.0,1.0,0.5,0.7488476007810937,0.9375,0.2512947224989451,log1p
0.6714285714285714,0.7301020408163266,True,noise,0.2512947224989451,0.26989795918367343,0.0,1.0,280.0,520.0,0.4975528782821486,0.4734848484848485,0.875,ranc_correct,noise,19,16.0,1.0,0.5,0.7488476007810937,0.9375,0.2512947224989451,log1p
0.6428571428571429,0.7196938775510204,False,signal,0.07355635064371457,0.28030612244897957,0.0,1.0,280.0,520.0,0.5110173954821559,0.5,0.5,ranc_wrong_noise,noise,19,16.0,0.75,0.5,0.5845737461258704,0.625,0.07355635064371457,zscore
0.7107142857142857,0.7754070746771478,,,0.0,0.0,0.0,0.0,280.0,520.0,0.5040181400682877,0.4883720930232558,1.0,none,signal,19,22.0,nan,1.0,0.9998614274943421,1.0,0.49584328742605444,
0.6892857142857143,0.7706599969373691,,,0.0,0.0,0.0,0.0,280.0,520.0,0.5056297819285485,0.49612403100775193,1.0,standard,signal,19,22.0,nan,1.0,0.9763046475232577,1.0,0.4706748655947093,
0.7107142857142857,0.7753560308304834,,,0.0,0.0,0.0,0.0,280.0,520.0,0.5038131746196984,0.4883720930232558,1.0,robust,signal,19,22.0,nan,1.0,0.99986264711075,1.0,0.4960494724910516,
0.7107142857142857,0.7720892246439691,,,0.0,0.0,0.0,0.0,280.0,520.0,0.5041635015952255,0.4883720930232558,1.0,winsor,signal,19,22.0,nan,1.0,0.9998647916433906,1.0,0.4957012900481651,
0.6892857142857143,0.7438619774386197,,,0.0,0.2727272727272727,0.0,0.0,280.0,520.0,0.5138155256777696,0.5193798449612403,0.7272727272727273,quantile,signal,19,22.0,nan,1.0,0.6499669221414002,0.7272727272727273,0.13615139646363061,
0.6892857142857143,0.7706599969373691,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.5056315060615356,0.49612403100775193,1.0,ranc,signal,19,22.0,nan,1.0,0.976262787536811,1.0,0.47063128147527533,zscore
0.6892857142857143,0.7706599969373691,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.5056315060615356,0.49612403100775193,1.0,ranc_correct,signal,19,22.0,nan,1.0,0.976262787536811,1.0,0.47063128147527533,zscore
0.6964285714285714,0.7613189729978052,False,noise,0.0,0.045454545454545414,0.0,1.0,280.0,520.0,0.5102787712337162,0.5,0.9545454545454546,ranc_wrong_signal,signal,19,22.0,nan,1.0,0.8045683696983444,0.9545454545454546,0.2942895984646282,log1p
0.65,0.7132307692307693,,,0.13054346273614326,0.28676923076923067,0.0,0.0,280.0,520.0,0.45912588033857327,0.37593984962406013,0.7142857142857143,none,noise,20,14.0,0.7142857142857143,0.5,0.5896693430747165,0.7142857142857143,0.13054346273614326,
0.65,0.7131794871794873,,,0.12962404795707727,0.2868205128205127,0.0,0.0,280.0,520.0,0.4592040652672744,0.37593984962406013,0.7142857142857143,standard,noise,20,14.0,0.7142857142857143,0.5,0.5888281132243517,0.7142857142857143,0.12962404795707727,
0.65,0.7133333333333334,,,0.1302889862254697,0.2866666666666666,0.0,0.0,280.0,520.0,0.45911937431764394,0.37593984962406013,0.7142857142857143,robust,noise,20,14.0,0.7142857142857143,0.5,0.5894083605431136,0.7142857142857143,0.1302889862254697,
0.6464285714285715,0.7104102564102565,,,0.1789233489457881,0.28958974358974354,0.0,0.0,280.0,520.0,0.457714453364235,0.37969924812030076,0.8571428571428571,winsor,noise,20,14.0,0.8571428571428571,0.5,0.6366378023100231,0.8571428571428571,0.1789233489457881,
